"id","ig","name","er","post","followers"
"1","adindaakm","Dinda","0.001","3200000","115000"
"2","gandhifernando","Gandhi Fernando","0.001","4895000","758000"
"3","buburayamracer","Den Dimas","0.017","11675000","480000"
"4","tommyteja","Tommy Teja","0.005","11675000","556000"
"5","margareth_angelina","Margareth Angelina","0.006","5742500","594000"
"6","viviatal","Cut Vivia","0.012","5900000","618000"
"7","reyfrangswa","Reynaldi Francois","0.009","7042000","124000"
"8","bellzky16","Bella Tobing","0.045","8285000","254000"
"9","samuelchrist","Samuel Christ","0.079","7155000","329000"
"10","bellatanesiaa","Bella Kuku","0.019","8285000","327000"
"11","kristo.immanuel","Kristo Immanuel","0.016","17075000","651000"
"12","bojvoyej","Juan Bio","0.027","27875000","1300000"
"13","annisast","Annisa Stevani","0.028","11675000","213000"
"14","vinamuliana","Vina Muliana","0.079","17075000","959000"
"15","kezialetheia","Kezia Alaetheia","0.057","8285000","182000"
"16","sophiaaljufri","Sophia Khadijah","0.298","6025000","275000"
"17","sptrakori_","I Gede","0.015","5775000","965000"
"18","fikinakii","Fiki Naki","0.074","15995000","3200000"
"19","nasrulloh.fahmi","Nasrulloh Fahmi","0.021","6025000","205000"
"20","banabangs","Annastasya Christanti","0.089","6025000","137000"
"21","gebysrikandii","Geby Srikandi","0.117","8285000","332000"
"22","caseykaspol","Casey Kaspol","0.311","4895000","434000"
"23","kokohkembar","Arthur &","0.019","9415000","580000"
"24","ireneswnd","Irene Suwandi","0.019","9415000","770000"
"25","vitosinaga","Vito Sinaga","0.04","5775000","1300000"
"26","aganta7","Aganta","0.084","11675000","727000"
"27","mommy_starla","Inara","0.019","11675000","2100000"
"28","shazhaniaa","Shasa Zhania","0.251","11675000","514000"
"29","richardtheodoreofficial","Richard Theodore","0.098","11675000","596000"
"30","shaniamelia","Shani Amelia","0.058","13835000","939000"
"31","syafira_hdd","Syafira Haddad","0.111","17615000","792000"
"32","triarona","Triarona","0.06","11675000","672000"
"33","wendywalters","Wendy Walters","0.001","24635000","2200000"
"34","hrdonn","Hardon","0.081","100750","2300"
"35","aris_permana","I Putu","0.02","26625","10000"
"36","ninaa_ayoe","Nina Dwi","0.028","32875","32000"
"37","firanathania","Fira Nathania","0.046","102625","1700"
"38","yunnaarr_","Yunar Tosepu","0.011","62500","13000"
"39","toritor.id","Victor Daniel","0.074","101625","4200"
"40","ryannatanelll","Ryan Natanel","0.038","52000","17000"
"41","adindasalsbila","Adinda Salsabila","0.054","30875","32000"
"42","tata_dppn","Destiya","0.001","185000","350000"
"43","vianitanp","RR Vianita","0.029","32875","9200"
"44","nadilapalupi","Nadila Palupi","0.057","80875","4200"
"45","chitramustika11","Citra mustika","0.059","71625","1900"
"46","_yuniarita","Yuni Arita","0.055","135125","12000"
"47","muhammadirsyad25","Muhammad Irsyad","0.042","84875","2100"
"48","ardiyaninf","Ardiyani Nur","0.003","10000","22000"
"49","itsyogga_","Yoga Prayogo","0.011","23125","4000"
"50","syasyaaaaah_20","Tasya Rahmayanti","0.136","45375","1300"
"51","dewi.masri","Dewi Masri","0.011","44375","15000"
"52","milla_khs","Mukmilatul Khasanah","0.03","50875","304000"
"53","arsylasazi","Elin wancana","0.036","6500","11000"
"54","nayafifah","NayAfifah","0.012","42000","15000"
"55","zhumrotulm","Zhumrotul Muniroh","0.037","17625","1200"
"56","sitichaerunisa","Siti Chaerunisa","0.043","22375","15000"
"57","mrs.dsyangrh","Dessy Nathalia","0.024","32625","6100"
"58","epi.widiyas","Epi Widiyas","0.045","26000","1700"
"59","momibrarbi1","Izzaty choirina","0.014","9500","19000"
